EventType,EventDate,City,State,Country,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,AirportID,Scheduled,AirCraftDamage,WeatherCondition,PurposeOfFlight,FAR
ACC,2025-04-22T13:25:00Z,Fayetteville,Arkansas,United States,NaN,0,0,0,36.005083,-94.170056,CESSNA,T210N,UNK,UNK,UNK,UNK,UNK,UNK
INC,2025-04-22T04:00:00Z,Budapest,NaN,Hungary,NaN,0,0,0,47.467,18.95,BOEING,737,UNK,UNK,UNK,UNK,UNK,UNK
ACC,2025-04-20T04:00:00Z,Tulsa,Oklahoma,United States,NaN,0,0,0,36.198393,-95.888105,BOEING,737-7H4,UNK,SCHD,UNK,UNK,UNK,121
ACC,2025-04-19T11:42:00Z,Hood River,Oregon,United States,NaN,0,0,0,45.674118,-121.52271,SCHWEIZER,SGS 2-33A,4S2,UNK,Substantial,VMC,INST,91
ACC,2025-04-19T11:06:00Z,Phoenix,Arizona,United States,NaN,0,0,0,33.688306,-112.08255,CHAPIN WALLACE HADLEY,SENIOR AERO SPORT,UNK,UNK,UNK,UNK,UNK,UNK
ACC,2025-04-19T10:16:00Z,Trilla,Illinois,United States,Fatal,4,0,0,41.7777,-87.5813,CESSNA,180,UNK,UNK,UNK,IMC,UNK,91
ACC,2025-04-19T09:50:00Z,Placerville,California,United States,NaN,0,0,0,38.725592,-120.74895,CESSNA,150,PVF,UNK,Substantial,VMC,PERS,91
ACC,2025-04-18T12:10:00Z,Placerville,California,United States,NaN,0,0,0,38.79966,-120.73742,LUSCOMBE,8,01CL,UNK,Substantial,UNK,PERS,91
ACC,2025-04-18T10:47:00Z,Danevang,Texas,United States,NaN,0,0,0,31.577764,-94.710111,GRUMMAN,G164,UNK,UNK,UNK,VMC,AAPL,137
ACC,2025-04-15T02:35:00Z,West Jordan,Utah,United States,NaN,0,0,0,40.607556,-111.99536,PIPER,PA28,UNK,UNK,UNK,UNK,INST,UNK
ACC,2025-04-14T18:00:00Z,Amboy,Washington,United States,NaN,0,0,0,46.236369,-117.93526,BELL,206B,UNK,UNK,UNK,UNK,UNK,UNK
ACC,2025-04-14T15:35:00Z,El-Oued,NaN,Algeria,Serious,0,1,2,36.691014,3.215408,BOEING,737,UNK,UNK,UNK,UNK,UNK,UNK
ACC,2025-04-14T10:03:00Z,Elko,Nevada,United States,Serious,0,1,0,40.0,-115.0,REPPERT MERLYN R,HURRICANE HP,UNK,UNK,UNK,VMC,PERS,91
ACC,2025-04-13T18:40:00Z,Elmore,Alabama,United States,Minor,0,0,1,32.51856,-86.28604,ROBB AVIATION LLC,AVENTURA II,UNK,UNK,Substantial,VMC,PERS,91
ACC,2025-04-13T16:40:00Z,Punta Gorda,Florida,United States,NaN,0,0,0,26.925277,-82.001113,LUSCOMBE,8F,UNK,UNK,UNK,UNK,UNK,UNK
ACC,2025-04-13T13:42:00Z,Green Valley,Arizona,United States,NaN,0,0,0,31.903151,-111.07858,PIPER,PA-32-260,UNK,UNK,Substantial,VMC,PERS,91
ACC,2025-04-13T12:00:00Z,Kingston,Ohio,United States,Serious,0,2,0,39.48562,-82.81414,CESSNA,150,UNK,UNK,Substantial,VMC,PERS,91
ACC,2025-04-13T04:00:00Z,Erie,Nevada,United States,NaN,0,0,0,35.974527,-115.13557,CESSNA,182L,UNK,UNK,UNK,UNK,UNK,UNK
ACC,2025-04-12T12:06:00Z,Copake,New York,United States,Fatal,6,0,0,42.160556,-73.482223,MITSUBISHI,MU-2B-40,UNK,UNK,UNK,UNK,PERS,91
ACC,2025-04-12T12:00:00Z,Girdwood,Alaska,United States,Minor,0,0,2,60.967826,-149.12066,CESSNA,182B,AQY,UNK,Substantial,VMC,PERS,91
ACC,2025-04-11T19:20:00Z,Brady,Texas,United States,Serious,0,1,0,31.225932,-99.358637,QUICKSILVER,MX II,UNK,UNK,UNK,UNK,UNK,91
